Name,Overall,Balance,Stamina,Strength,HeadingAccuracy,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Aggression,Jumping,Vision,Composure,StandingTackle,SlidingTackle
S. Ulreich,80,39.0,29.0,41.0,8.0,41.0,38.0,13.0,22.0,41.0,40.0,34.0,24.0,25.0,66.0,42.0,45.0,18.0,14.0
M. Musacchio,80,68.0,68.0,76.0,76.0,69.0,67.0,65.0,67.0,69.0,71.0,73.0,57.0,76.0,83.0,64.0,76.0,84.0,80.0
C. Stuani,80,62.0,81.0,78.0,87.0,74.0,65.0,78.0,79.0,70.0,69.0,65.0,79.0,81.0,83.0,69.0,77.0,49.0,42.0
P. Gulácsi,80,50.0,35.0,68.0,23.0,29.0,25.0,19.0,25.0,42.0,44.0,41.0,23.0,34.0,67.0,36.0,45.0,16.0,20.0
Bruno,80,60.0,50.0,72.0,61.0,85.0,84.0,74.0,78.0,34.0,31.0,49.0,80.0,76.0,58.0,85.0,84.0,80.0,78.0
F. Delph,80,86.0,87.0,65.0,60.0,82.0,76.0,77.0,82.0,75.0,72.0,87.0,82.0,84.0,67.0,73.0,76.0,81.0,79.0
A. Lallana,80,75.0,77.0,64.0,67.0,84.0,76.0,84.0,85.0,70.0,69.0,78.0,72.0,76.0,70.0,83.0,80.0,64.0,62.0
Marcelo,80,47.0,85.0,90.0,83.0,70.0,72.0,51.0,65.0,54.0,54.0,49.0,76.0,83.0,81.0,57.0,71.0,82.0,73.0
S. Coleman,80,74.0,77.0,69.0,69.0,78.0,70.0,79.0,78.0,77.0,75.0,73.0,75.0,78.0,71.0,70.0,82.0,84.0,82.0
Alexandre Pato,80,69.0,67.0,72.0,69.0,75.0,53.0,81.0,80.0,84.0,85.0,83.0,76.0,63.0,78.0,66.0,74.0,23.0,19.0
Antunes,80,76.0,85.0,68.0,69.0,77.0,76.0,74.0,80.0,76.0,79.0,76.0,87.0,75.0,63.0,66.0,70.0,81.0,82.0
Nacho Monreal,80,73.0,74.0,65.0,72.0,77.0,61.0,73.0,77.0,72.0,67.0,70.0,74.0,77.0,74.0,66.0,76.0,83.0,81.0
Beñat,80,73.0,77.0,70.0,47.0,84.0,82.0,72.0,80.0,64.0,41.0,70.0,87.0,74.0,59.0,84.0,73.0,73.0,65.0
A. Fernández,80,79.0,75.0,73.0,59.0,81.0,80.0,78.0,81.0,69.0,71.0,75.0,74.0,80.0,59.0,81.0,81.0,76.0,64.0
K. Gameiro,80,77.0,75.0,64.0,67.0,79.0,72.0,75.0,79.0,86.0,85.0,81.0,82.0,66.0,85.0,75.0,82.0,33.0,39.0
I. Piatti,80,81.0,89.0,73.0,54.0,78.0,74.0,86.0,84.0,77.0,76.0,87.0,83.0,79.0,31.0,77.0,82.0,62.0,24.0
V. Birsa,80,68.0,72.0,77.0,60.0,82.0,76.0,84.0,86.0,70.0,74.0,68.0,84.0,55.0,68.0,82.0,80.0,52.0,40.0
S. Romero,80,44.0,35.0,75.0,12.0,39.0,48.0,12.0,40.0,47.0,44.0,52.0,14.0,33.0,63.0,55.0,62.0,11.0,15.0
D. Criscito,80,65.0,89.0,73.0,69.0,80.0,81.0,72.0,73.0,78.0,77.0,68.0,68.0,79.0,80.0,75.0,75.0,82.0,83.0
D. Valeri,80,73.0,82.0,63.0,70.0,79.0,76.0,78.0,82.0,62.0,60.0,72.0,85.0,53.0,68.0,82.0,83.0,40.0,30.0
D. Sturridge,80,64.0,55.0,66.0,70.0,72.0,62.0,79.0,80.0,72.0,78.0,74.0,82.0,60.0,70.0,74.0,81.0,24.0,12.0
Raúl García,80,64.0,74.0,82.0,90.0,79.0,80.0,78.0,85.0,47.0,57.0,66.0,85.0,84.0,76.0,83.0,83.0,74.0,63.0
S. Defour,80,79.0,77.0,68.0,62.0,81.0,78.0,78.0,80.0,67.0,62.0,71.0,76.0,81.0,70.0,80.0,82.0,76.0,71.0
M. Škrtel,80,52.0,76.0,86.0,83.0,68.0,67.0,46.0,57.0,49.0,62.0,49.0,46.0,82.0,73.0,28.0,71.0,82.0,78.0
S. Radu,80,67.0,69.0,74.0,70.0,71.0,67.0,66.0,69.0,70.0,68.0,70.0,79.0,75.0,65.0,60.0,76.0,86.0,85.0
G. Cahill,80,47.0,61.0,79.0,85.0,66.0,60.0,56.0,61.0,42.0,48.0,51.0,63.0,85.0,80.0,56.0,74.0,82.0,81.0
L. Diarra,80,87.0,85.0,68.0,59.0,79.0,75.0,73.0,80.0,69.0,69.0,79.0,74.0,77.0,76.0,73.0,83.0,79.0,81.0
L. Perrin,80,72.0,73.0,78.0,81.0,74.0,77.0,62.0,73.0,62.0,63.0,63.0,65.0,77.0,81.0,63.0,80.0,84.0,82.0
Dante,80,64.0,62.0,81.0,80.0,74.0,76.0,57.0,74.0,38.0,41.0,52.0,64.0,74.0,65.0,62.0,78.0,82.0,80.0
A. Granqvist,80,36.0,67.0,83.0,81.0,73.0,67.0,49.0,63.0,46.0,49.0,55.0,74.0,81.0,64.0,49.0,78.0,83.0,79.0
A. Gignac,80,55.0,71.0,89.0,78.0,70.0,68.0,73.0,73.0,73.0,68.0,66.0,84.0,80.0,72.0,72.0,80.0,41.0,23.0
M. Gómez,80,50.0,60.0,86.0,82.0,70.0,50.0,72.0,71.0,63.0,66.0,62.0,82.0,73.0,76.0,62.0,83.0,31.0,20.0
I. Akinfeev,80,45.0,35.0,72.0,18.0,23.0,22.0,15.0,22.0,51.0,50.0,53.0,24.0,24.0,62.0,59.0,67.0,13.0,13.0
I. Denisov,80,76.0,86.0,64.0,59.0,80.0,74.0,73.0,78.0,67.0,65.0,77.0,71.0,88.0,70.0,72.0,77.0,81.0,73.0
Juanfran,80,63.0,80.0,74.0,59.0,77.0,66.0,75.0,78.0,74.0,86.0,74.0,68.0,78.0,68.0,72.0,74.0,81.0,80.0
Diego López,80,47.0,42.0,66.0,10.0,28.0,23.0,11.0,23.0,34.0,52.0,48.0,22.0,36.0,68.0,53.0,62.0,13.0,14.0
Santi Cazorla,80,84.0,53.0,54.0,58.0,85.0,84.0,84.0,86.0,58.0,52.0,72.0,77.0,64.0,53.0,86.0,88.0,60.0,50.0
Jesús Navas,80,87.0,82.0,35.0,55.0,75.0,73.0,80.0,80.0,89.0,88.0,87.0,75.0,63.0,65.0,73.0,70.0,61.0,62.0
J. Mascherano,80,78.0,76.0,72.0,66.0,79.0,75.0,58.0,80.0,69.0,62.0,72.0,76.0,88.0,80.0,68.0,81.0,81.0,82.0
A. Mirante,80,50.0,33.0,55.0,13.0,35.0,35.0,24.0,25.0,44.0,43.0,50.0,23.0,32.0,62.0,43.0,65.0,12.0,12.0
D. Srna,80,65.0,74.0,72.0,60.0,85.0,87.0,72.0,83.0,69.0,76.0,71.0,83.0,83.0,67.0,86.0,81.0,78.0,77.0
B. Schweinsteiger,80,63.0,67.0,75.0,75.0,82.0,83.0,71.0,78.0,36.0,37.0,61.0,81.0,77.0,71.0,81.0,87.0,74.0,75.0
Moyá,80,49.0,30.0,57.0,12.0,31.0,35.0,13.0,24.0,46.0,34.0,54.0,21.0,22.0,62.0,68.0,60.0,14.0,14.0
W. Rooney,80,77.0,74.0,78.0,75.0,81.0,82.0,74.0,80.0,65.0,65.0,66.0,85.0,81.0,74.0,82.0,86.0,55.0,40.0
Fernando Torres,80,51.0,60.0,72.0,77.0,79.0,51.0,80.0,79.0,71.0,78.0,70.0,83.0,62.0,75.0,76.0,69.0,22.0,18.0
S. Sorrentino,80,48.0,28.0,74.0,10.0,36.0,34.0,14.0,20.0,34.0,40.0,52.0,21.0,22.0,74.0,34.0,66.0,10.0,13.0
V. Tsygankov,79,73.0,74.0,47.0,45.0,80.0,69.0,80.0,81.0,82.0,83.0,77.0,70.0,57.0,50.0,80.0,79.0,36.0,37.0
Rúben Dias,79,56.0,77.0,78.0,81.0,69.0,44.0,54.0,60.0,63.0,64.0,47.0,54.0,94.0,76.0,34.0,72.0,80.0,75.0
David Neres,79,84.0,73.0,63.0,50.0,78.0,52.0,87.0,84.0,85.0,86.0,91.0,72.0,52.0,58.0,78.0,78.0,32.0,32.0
Raphinha,79,82.0,87.0,65.0,45.0,73.0,62.0,81.0,80.0,88.0,86.0,86.0,80.0,74.0,70.0,73.0,81.0,41.0,27.0
A. Harit,79,83.0,73.0,32.0,46.0,78.0,75.0,86.0,84.0,87.0,77.0,90.0,67.0,46.0,57.0,77.0,71.0,50.0,32.0
Richarlison,79,74.0,78.0,76.0,75.0,75.0,59.0,84.0,79.0,83.0,85.0,78.0,80.0,82.0,80.0,72.0,77.0,44.0,36.0
L. Martínez,79,70.0,75.0,86.0,79.0,62.0,50.0,78.0,79.0,82.0,83.0,79.0,79.0,74.0,81.0,72.0,77.0,22.0,25.0
F. Kessié,79,79.0,96.0,87.0,68.0,79.0,75.0,78.0,79.0,71.0,77.0,68.0,84.0,86.0,79.0,71.0,76.0,78.0,74.0
Luimo Boas Santos,79,69.0,80.0,67.0,73.0,74.0,56.0,82.0,78.0,86.0,82.0,83.0,75.0,43.0,82.0,75.0,73.0,20.0,19.0
Gabri Prestão,79,43.0,23.0,60.0,7.0,11.0,12.0,18.0,20.0,58.0,62.0,66.0,15.0,35.0,60.0,60.0,64.0,9.0,16.0
Melvin Parrela,79,69.0,87.0,82.0,83.0,78.0,72.0,72.0,74.0,62.0,78.0,67.0,75.0,84.0,71.0,72.0,76.0,84.0,77.0
Antônio Chiamuloira,79,49.0,62.0,81.0,76.0,68.0,72.0,44.0,62.0,67.0,72.0,49.0,43.0,88.0,88.0,47.0,70.0,78.0,81.0
Maikel Catarino,79,75.0,85.0,62.0,69.0,73.0,75.0,78.0,77.0,83.0,76.0,82.0,52.0,62.0,51.0,61.0,54.0,78.0,76.0
A. Lunev,79,50.0,27.0,70.0,17.0,25.0,32.0,15.0,17.0,58.0,54.0,36.0,24.0,26.0,60.0,63.0,69.0,20.0,12.0
André Silva,79,72.0,77.0,74.0,77.0,69.0,58.0,77.0,79.0,77.0,83.0,77.0,76.0,76.0,84.0,68.0,75.0,40.0,35.0
C. Pulisic,79,89.0,74.0,52.0,46.0,77.0,56.0,87.0,82.0,93.0,88.0,87.0,79.0,45.0,84.0,78.0,67.0,30.0,41.0
M. Dmitrović,79,37.0,45.0,79.0,20.0,40.0,40.0,8.0,9.0,39.0,35.0,32.0,40.0,20.0,45.0,45.0,59.0,22.0,20.0
L. Tousart,79,68.0,85.0,82.0,76.0,76.0,73.0,69.0,73.0,69.0,69.0,64.0,73.0,85.0,81.0,67.0,71.0,82.0,76.0
Marcos Llorente,79,66.0,75.0,72.0,61.0,84.0,81.0,68.0,78.0,61.0,59.0,58.0,58.0,65.0,66.0,76.0,76.0,79.0,72.0
B. Verbič,79,81.0,77.0,72.0,65.0,75.0,69.0,81.0,80.0,85.0,81.0,78.0,70.0,74.0,72.0,75.0,76.0,34.0,33.0
S. Bergwijn,79,89.0,74.0,76.0,55.0,75.0,53.0,87.0,83.0,87.0,88.0,78.0,78.0,44.0,71.0,73.0,75.0,31.0,26.0
A. Diallo,79,69.0,76.0,78.0,81.0,76.0,78.0,73.0,76.0,75.0,77.0,75.0,43.0,76.0,84.0,68.0,81.0,80.0,78.0
A. Golovin,79,78.0,85.0,54.0,38.0,80.0,73.0,86.0,82.0,80.0,83.0,82.0,76.0,81.0,63.0,78.0,80.0,75.0,66.0
M. Campaña,79,44.0,18.0,81.0,15.0,31.0,25.0,18.0,29.0,40.0,48.0,40.0,28.0,27.0,60.0,55.0,51.0,16.0,18.0
C. Pavón,79,85.0,92.0,73.0,48.0,76.0,68.0,79.0,76.0,93.0,90.0,92.0,84.0,56.0,61.0,77.0,68.0,34.0,30.0
K. Toko-Ekambi,79,75.0,70.0,77.0,74.0,69.0,58.0,80.0,80.0,84.0,83.0,79.0,78.0,43.0,71.0,65.0,78.0,14.0,18.0
Granell,79,77.0,69.0,64.0,55.0,83.0,79.0,76.0,80.0,65.0,60.0,71.0,73.0,73.0,66.0,78.0,69.0,75.0,65.0
F. Cervi,79,91.0,87.0,33.0,48.0,73.0,67.0,85.0,84.0,93.0,90.0,91.0,68.0,71.0,60.0,72.0,81.0,50.0,53.0
J. Weigl,79,65.0,80.0,63.0,63.0,85.0,80.0,74.0,79.0,72.0,59.0,77.0,48.0,64.0,67.0,77.0,80.0,78.0,73.0
V. Lindelöf,79,63.0,75.0,77.0,76.0,79.0,73.0,66.0,75.0,68.0,77.0,66.0,68.0,78.0,75.0,67.0,76.0,80.0,77.0
A. Rebić,79,66.0,80.0,83.0,71.0,72.0,57.0,83.0,79.0,83.0,86.0,75.0,81.0,84.0,66.0,68.0,73.0,50.0,25.0
A. Sanabria,79,75.0,69.0,76.0,77.0,74.0,63.0,82.0,83.0,77.0,79.0,78.0,75.0,32.0,75.0,73.0,76.0,20.0,15.0
R. Battaglia,79,61.0,94.0,78.0,68.0,78.0,76.0,74.0,76.0,67.0,69.0,60.0,76.0,88.0,74.0,73.0,73.0,83.0,76.0
M. Philipp,79,75.0,68.0,68.0,54.0,78.0,62.0,85.0,82.0,84.0,79.0,83.0,82.0,55.0,59.0,74.0,67.0,48.0,39.0
A. Saint-Maximin,79,87.0,74.0,66.0,53.0,72.0,68.0,87.0,81.0,92.0,92.0,93.0,80.0,36.0,68.0,70.0,72.0,16.0,22.0
D. Zappacosta,79,73.0,87.0,68.0,69.0,74.0,68.0,76.0,74.0,74.0,79.0,72.0,75.0,75.0,67.0,64.0,73.0,78.0,79.0
L. Alario,79,71.0,71.0,78.0,81.0,69.0,48.0,75.0,79.0,71.0,73.0,72.0,75.0,72.0,90.0,65.0,74.0,27.0,20.0
D. Benedetto,79,71.0,77.0,76.0,76.0,67.0,65.0,71.0,74.0,78.0,84.0,77.0,81.0,66.0,87.0,69.0,78.0,25.0,25.0
I. Marcone,79,57.0,86.0,85.0,73.0,80.0,83.0,69.0,73.0,54.0,34.0,60.0,73.0,84.0,35.0,69.0,76.0,80.0,71.0
J. Gbamin,79,66.0,83.0,83.0,71.0,78.0,74.0,74.0,76.0,76.0,85.0,68.0,78.0,85.0,77.0,72.0,72.0,80.0,71.0
J. Lerma,79,76.0,90.0,76.0,65.0,78.0,74.0,69.0,77.0,74.0,76.0,75.0,82.0,83.0,84.0,68.0,63.0,81.0,81.0
Ricardo Horta,79,85.0,80.0,45.0,51.0,76.0,69.0,80.0,81.0,78.0,75.0,85.0,78.0,64.0,62.0,76.0,69.0,44.0,35.0
R. Zobnin,79,65.0,90.0,63.0,70.0,81.0,79.0,82.0,82.0,74.0,78.0,70.0,65.0,70.0,63.0,72.0,77.0,79.0,76.0
M. Meyer,79,90.0,83.0,52.0,37.0,85.0,75.0,84.0,82.0,76.0,60.0,89.0,45.0,80.0,60.0,80.0,78.0,66.0,62.0
Bruma,79,90.0,77.0,54.0,53.0,75.0,60.0,87.0,83.0,94.0,89.0,93.0,81.0,64.0,73.0,70.0,72.0,27.0,28.0
R. Centurión,79,88.0,91.0,53.0,61.0,68.0,66.0,86.0,80.0,91.0,89.0,89.0,68.0,63.0,60.0,76.0,75.0,37.0,38.0
Jonny,79,78.0,83.0,64.0,70.0,73.0,59.0,73.0,76.0,77.0,78.0,72.0,66.0,82.0,75.0,55.0,70.0,79.0,82.0
Otávio,79,82.0,68.0,54.0,56.0,77.0,74.0,84.0,83.0,76.0,74.0,86.0,67.0,73.0,57.0,79.0,80.0,41.0,27.0
J. Hofmann,79,77.0,81.0,56.0,40.0,79.0,71.0,80.0,79.0,78.0,76.0,78.0,68.0,43.0,61.0,77.0,68.0,44.0,40.0
N. Aké,79,69.0,73.0,75.0,74.0,77.0,73.0,67.0,73.0,75.0,74.0,68.0,63.0,72.0,86.0,65.0,72.0,81.0,80.0
J. Hector,79,67.0,82.0,76.0,71.0,78.0,74.0,74.0,77.0,75.0,77.0,67.0,69.0,71.0,66.0,72.0,78.0,79.0,79.0
S. Kolašinac,79,55.0,79.0,90.0,74.0,76.0,53.0,73.0,74.0,68.0,75.0,49.0,82.0,93.0,76.0,60.0,72.0,81.0,80.0
G. Pizarro,79,44.0,89.0,80.0,68.0,80.0,75.0,70.0,76.0,62.0,53.0,62.0,69.0,87.0,74.0,71.0,77.0,80.0,76.0
Roger,79,78.0,72.0,74.0,72.0,72.0,52.0,76.0,76.0,78.0,79.0,78.0,80.0,65.0,75.0,65.0,70.0,36.0,31.0
Sergio Rico,79,43.0,36.0,54.0,11.0,28.0,26.0,14.0,12.0,48.0,46.0,62.0,19.0,27.0,63.0,53.0,60.0,11.0,11.0
L. Milivojević,79,58.0,86.0,82.0,75.0,79.0,75.0,62.0,74.0,53.0,59.0,58.0,79.0,88.0,62.0,73.0,73.0,76.0,72.0
D. Baselli,79,75.0,75.0,67.0,64.0,82.0,78.0,80.0,83.0,75.0,69.0,79.0,76.0,65.0,69.0,80.0,74.0,65.0,63.0
K. Rekik,79,64.0,70.0,80.0,78.0,75.0,68.0,57.0,67.0,66.0,69.0,65.0,60.0,85.0,77.0,57.0,71.0,81.0,85.0
Denis Suárez,79,76.0,72.0,57.0,44.0,82.0,78.0,83.0,84.0,77.0,77.0,82.0,75.0,47.0,58.0,81.0,70.0,59.0,42.0
W. Orban,79,56.0,67.0,85.0,83.0,66.0,56.0,53.0,58.0,51.0,53.0,48.0,37.0,79.0,90.0,42.0,68.0,83.0,77.0
Mário Rui,79,89.0,91.0,54.0,60.0,76.0,72.0,79.0,76.0,88.0,83.0,88.0,69.0,73.0,92.0,64.0,73.0,76.0,76.0
Iñigo Martínez,79,64.0,71.0,78.0,73.0,71.0,81.0,53.0,68.0,71.0,74.0,67.0,81.0,84.0,90.0,46.0,69.0,80.0,83.0
K. Zouma,79,52.0,63.0,91.0,77.0,63.0,60.0,50.0,63.0,60.0,70.0,45.0,63.0,83.0,89.0,59.0,67.0,78.0,79.0
Roque Mesa,79,89.0,88.0,69.0,32.0,82.0,77.0,74.0,79.0,74.0,75.0,76.0,63.0,89.0,77.0,74.0,83.0,75.0,76.0
J. Brooks,79,51.0,61.0,84.0,82.0,73.0,72.0,65.0,64.0,66.0,76.0,57.0,50.0,75.0,72.0,57.0,81.0,81.0,76.0
L. Karius,79,43.0,36.0,64.0,14.0,38.0,41.0,16.0,23.0,55.0,54.0,51.0,20.0,21.0,74.0,50.0,60.0,11.0,13.0
Zé Luís,79,61.0,68.0,83.0,83.0,67.0,44.0,80.0,81.0,80.0,81.0,64.0,79.0,76.0,92.0,75.0,72.0,19.0,24.0
D. Klaassen,79,64.0,83.0,69.0,74.0,81.0,75.0,72.0,80.0,71.0,64.0,67.0,78.0,77.0,72.0,78.0,83.0,72.0,61.0
M. Elyounoussi,79,82.0,88.0,62.0,64.0,82.0,75.0,80.0,78.0,87.0,78.0,84.0,76.0,49.0,81.0,73.0,72.0,31.0,44.0
L. Bittencourt,79,90.0,78.0,48.0,45.0,79.0,72.0,84.0,80.0,90.0,79.0,92.0,70.0,72.0,72.0,75.0,72.0,55.0,55.0
Sergi Darder,79,77.0,70.0,68.0,52.0,84.0,81.0,76.0,81.0,58.0,45.0,75.0,74.0,71.0,48.0,83.0,81.0,68.0,69.0
J. Roussillon,79,78.0,84.0,77.0,69.0,74.0,69.0,77.0,77.0,87.0,85.0,77.0,73.0,75.0,73.0,71.0,72.0,80.0,78.0
D. Demme,79,85.0,93.0,67.0,57.0,82.0,79.0,73.0,77.0,68.0,53.0,88.0,64.0,82.0,79.0,70.0,74.0,77.0,73.0
J. Gouweleeuw,79,61.0,72.0,78.0,73.0,68.0,80.0,60.0,66.0,68.0,69.0,65.0,72.0,78.0,68.0,71.0,74.0,82.0,76.0
M. Rojo,79,63.0,68.0,77.0,79.0,72.0,73.0,64.0,67.0,68.0,69.0,68.0,80.0,92.0,82.0,57.0,73.0,81.0,79.0
J. Veretout,79,76.0,79.0,68.0,54.0,84.0,79.0,76.0,79.0,72.0,66.0,76.0,76.0,72.0,69.0,78.0,80.0,76.0,72.0
L. Kurzawa,79,72.0,79.0,72.0,75.0,80.0,72.0,76.0,80.0,79.0,74.0,75.0,69.0,75.0,82.0,75.0,76.0,77.0,79.0
G. Ramírez,79,73.0,62.0,53.0,57.0,81.0,77.0,80.0,81.0,70.0,69.0,78.0,77.0,69.0,66.0,80.0,77.0,45.0,39.0
David López,79,55.0,75.0,84.0,74.0,79.0,64.0,64.0,76.0,57.0,59.0,51.0,77.0,78.0,74.0,68.0,67.0,82.0,76.0
C. Tătăruşanu,79,42.0,42.0,73.0,15.0,37.0,37.0,16.0,19.0,50.0,47.0,59.0,14.0,33.0,63.0,48.0,45.0,15.0,12.0
A. Mandi,79,65.0,69.0,74.0,84.0,78.0,73.0,64.0,73.0,65.0,66.0,77.0,52.0,69.0,82.0,68.0,74.0,79.0,84.0
D. Sidibé,79,69.0,91.0,75.0,72.0,79.0,73.0,77.0,78.0,78.0,79.0,70.0,69.0,76.0,83.0,69.0,75.0,76.0,77.0
Y. Konoplyanka,79,78.0,68.0,63.0,43.0,77.0,74.0,82.0,81.0,89.0,79.0,83.0,76.0,52.0,62.0,74.0,74.0,30.0,27.0
S. Berghuis,79,70.0,72.0,58.0,48.0,76.0,76.0,82.0,82.0,80.0,75.0,82.0,82.0,63.0,53.0,76.0,73.0,36.0,30.0
H. Vanaken,79,58.0,91.0,76.0,73.0,84.0,80.0,77.0,83.0,45.0,55.0,56.0,74.0,45.0,47.0,83.0,80.0,53.0,32.0
Campaña,79,75.0,76.0,73.0,65.0,82.0,81.0,77.0,81.0,65.0,61.0,67.0,75.0,66.0,57.0,80.0,80.0,75.0,69.0
M. van Ginkel,79,59.0,76.0,71.0,74.0,83.0,79.0,75.0,80.0,62.0,69.0,71.0,79.0,69.0,74.0,77.0,84.0,73.0,68.0
Nolito,79,81.0,70.0,63.0,56.0,76.0,67.0,80.0,80.0,74.0,70.0,82.0,74.0,73.0,66.0,79.0,82.0,39.0,27.0
M. Gregoritsch,79,52.0,69.0,79.0,71.0,77.0,69.0,75.0,78.0,65.0,68.0,67.0,84.0,58.0,50.0,73.0,65.0,40.0,38.0
Ibai Gómez,79,78.0,68.0,66.0,47.0,77.0,78.0,82.0,81.0,79.0,77.0,79.0,83.0,63.0,66.0,80.0,67.0,58.0,55.0
Danilo,79,65.0,82.0,76.0,69.0,77.0,69.0,73.0,79.0,73.0,76.0,70.0,85.0,75.0,74.0,64.0,69.0,77.0,78.0
R. Barkley,79,58.0,69.0,77.0,65.0,82.0,78.0,85.0,84.0,69.0,70.0,66.0,81.0,74.0,62.0,79.0,80.0,58.0,51.0
M. Ryan,79,50.0,34.0,68.0,14.0,40.0,45.0,13.0,24.0,53.0,52.0,53.0,35.0,36.0,78.0,68.0,64.0,20.0,17.0
Sergio León,79,75.0,73.0,68.0,76.0,72.0,34.0,77.0,78.0,76.0,75.0,81.0,78.0,71.0,77.0,61.0,78.0,33.0,21.0
B. Stambouli,79,65.0,76.0,76.0,72.0,77.0,79.0,66.0,76.0,65.0,63.0,67.0,65.0,78.0,73.0,74.0,80.0,80.0,75.0
J. Guilavogui,79,50.0,77.0,82.0,85.0,78.0,75.0,67.0,73.0,65.0,72.0,53.0,78.0,81.0,76.0,65.0,74.0,79.0,82.0
Sérgio Oliveira,79,67.0,74.0,65.0,64.0,81.0,79.0,77.0,80.0,62.0,56.0,66.0,87.0,70.0,56.0,81.0,76.0,69.0,46.0
D. Caligiuri,79,74.0,85.0,70.0,65.0,78.0,70.0,81.0,80.0,77.0,78.0,76.0,78.0,74.0,76.0,77.0,76.0,72.0,68.0
C. Wilson,79,74.0,72.0,75.0,73.0,71.0,60.0,74.0,77.0,87.0,89.0,74.0,76.0,73.0,65.0,71.0,78.0,39.0,25.0
P. Jones,79,59.0,64.0,79.0,78.0,73.0,67.0,59.0,64.0,54.0,59.0,52.0,68.0,86.0,82.0,54.0,68.0,81.0,82.0
Borja García,79,77.0,67.0,67.0,53.0,82.0,80.0,80.0,81.0,81.0,77.0,75.0,67.0,52.0,72.0,79.0,61.0,72.0,59.0
Y. Belhanda,79,78.0,84.0,63.0,67.0,78.0,76.0,84.0,83.0,75.0,72.0,85.0,78.0,75.0,77.0,78.0,72.0,54.0,55.0
G. Pezzella,79,48.0,55.0,77.0,82.0,64.0,58.0,54.0,66.0,52.0,52.0,34.0,54.0,82.0,84.0,22.0,72.0,82.0,78.0
Jaume Costa,79,78.0,78.0,63.0,68.0,79.0,65.0,69.0,78.0,79.0,81.0,76.0,75.0,85.0,73.0,57.0,69.0,78.0,79.0
C. Tosun,79,66.0,73.0,74.0,82.0,72.0,60.0,75.0,78.0,72.0,75.0,73.0,83.0,75.0,80.0,61.0,77.0,34.0,15.0
Escudero,79,77.0,83.0,69.0,68.0,77.0,77.0,68.0,75.0,72.0,77.0,74.0,81.0,75.0,74.0,56.0,69.0,76.0,81.0
Kike García,79,54.0,71.0,79.0,80.0,70.0,49.0,75.0,80.0,65.0,71.0,65.0,82.0,71.0,74.0,65.0,63.0,34.0,21.0
Elkeson,79,74.0,79.0,77.0,79.0,75.0,66.0,76.0,77.0,86.0,76.0,77.0,86.0,68.0,76.0,78.0,76.0,57.0,35.0
Ricardo Goulart,79,80.0,75.0,65.0,76.0,81.0,74.0,78.0,81.0,80.0,77.0,72.0,76.0,61.0,66.0,77.0,75.0,41.0,34.0
J. Guðmundsson,79,76.0,78.0,70.0,64.0,78.0,75.0,81.0,79.0,79.0,77.0,76.0,84.0,66.0,78.0,79.0,79.0,59.0,49.0
N. Clyne,79,75.0,76.0,67.0,68.0,75.0,66.0,76.0,78.0,77.0,78.0,79.0,74.0,76.0,69.0,64.0,75.0,81.0,82.0
M. Hitz,79,31.0,39.0,78.0,18.0,29.0,25.0,13.0,17.0,41.0,46.0,41.0,38.0,25.0,67.0,15.0,42.0,15.0,14.0
De Marcos,79,74.0,93.0,73.0,59.0,75.0,69.0,75.0,78.0,79.0,89.0,76.0,73.0,77.0,78.0,66.0,75.0,76.0,75.0
B. Mee,79,70.0,70.0,82.0,79.0,63.0,61.0,63.0,65.0,62.0,63.0,63.0,60.0,82.0,93.0,60.0,74.0,81.0,80.0
Rafael,79,83.0,82.0,73.0,64.0,77.0,70.0,80.0,78.0,84.0,78.0,79.0,72.0,85.0,82.0,72.0,76.0,77.0,77.0
Iborra,79,31.0,66.0,84.0,79.0,83.0,81.0,70.0,81.0,39.0,35.0,51.0,81.0,75.0,64.0,77.0,76.0,79.0,74.0
J. Wilshere,79,83.0,68.0,60.0,58.0,84.0,80.0,81.0,82.0,68.0,63.0,76.0,74.0,81.0,66.0,81.0,80.0,64.0,65.0
B. Hübner,79,48.0,63.0,79.0,85.0,57.0,49.0,58.0,63.0,54.0,55.0,45.0,52.0,76.0,61.0,51.0,71.0,84.0,79.0
Souza,79,66.0,92.0,83.0,75.0,76.0,73.0,71.0,78.0,68.0,71.0,69.0,77.0,83.0,65.0,67.0,74.0,81.0,76.0
F. Coquelin,79,81.0,78.0,79.0,60.0,77.0,74.0,72.0,78.0,70.0,72.0,73.0,71.0,91.0,81.0,67.0,74.0,80.0,79.0
Alex Teixeira,79,83.0,83.0,72.0,54.0,80.0,70.0,80.0,81.0,93.0,90.0,90.0,72.0,52.0,82.0,79.0,84.0,35.0,43.0
A. Dzagoev,79,72.0,74.0,66.0,67.0,79.0,76.0,78.0,81.0,81.0,69.0,71.0,76.0,69.0,73.0,81.0,78.0,71.0,70.0
I. Smolnikov,79,76.0,93.0,68.0,69.0,79.0,75.0,72.0,72.0,84.0,90.0,80.0,67.0,65.0,85.0,72.0,73.0,76.0,80.0
Y. M'Vila,79,65.0,81.0,75.0,61.0,83.0,79.0,73.0,76.0,74.0,69.0,73.0,68.0,83.0,71.0,72.0,73.0,75.0,72.0
